Código Município;Tmax_sd2014/11/01;Tmax_mean2014/11/01;Tmax_max2014/11/01;Tmax_min2014/11/01;Tmax_sd2014/12/01;Tmax_mean2014/12/01;Tmax_max2014/12/01;Tmax_min2014/12/01;Tmax_sd2015/01/01;Tmax_mean2015/01/01;Tmax_max2015/01/01;Tmax_min2015/01/01;Tmax_sd2015/11/01;Tmax_mean2015/11/01;Tmax_max2015/11/01;Tmax_min2015/11/01;Tmax_sd2015/12/01;Tmax_mean2015/12/01;Tmax_max2015/12/01;Tmax_min2015/12/01;Tmax_sd2016/01/01;Tmax_mean2016/01/01;Tmax_max2016/01/01;Tmax_min2016/01/01;Tmax_sd2016/11/01;Tmax_mean2016/11/01;Tmax_max2016/11/01;Tmax_min2016/11/01;Tmax_sd2016/12/01;Tmax_mean2016/12/01;Tmax_max2016/12/01;Tmax_min2016/12/01;Tmax_sd2017/01/01;Tmax_mean2017/01/01;Tmax_max2017/01/01;Tmax_min2017/01/01;Tmax_sd2017/11/01;Tmax_mean2017/11/01;Tmax_max2017/11/01;Tmax_min2017/11/01;Tmax_sd2017/12/01;Tmax_mean2017/12/01;Tmax_max2017/12/01;Tmax_min2017/12/01;Tmax_sd2018/01/01;Tmax_mean2018/01/01;Tmax_max2018/01/01;Tmax_min2018/01/01;Tmax_sd2018/11/01;Tmax_mean2018/11/01;Tmax_max2018/11/01;Tmax_min2018/11/01;Tmax_sd2018/12/01;Tmax_mean2018/12/01;Tmax_max2018/12/01;Tmax_min2018/12/01;Tmax_sd2019/01/01;Tmax_mean2019/01/01;Tmax_max2019/01/01;Tmax_min2019/01/01;Tmax_sd2019/11/01;Tmax_mean2019/11/01;Tmax_max2019/11/01;Tmax_min2019/11/01;Tmax_sd2019/12/01;Tmax_mean2019/12/01;Tmax_max2019/12/01;Tmax_min2019/12/01;Tmax_sd2020/01/01;Tmax_mean2020/01/01;Tmax_max2020/01/01;Tmax_min2020/01/01;Tmax_sd2020/11/01;Tmax_mean2020/11/01;Tmax_max2020/11/01;Tmax_min2020/11/01;Tmax_sd2020/12/01;Tmax_mean2020/12/01;Tmax_max2020/12/01;Tmax_min2020/12/01;Tmax_sd2021/01/01;Tmax_mean2021/01/01;Tmax_max2021/01/01;Tmax_min2021/01/01;
2919553.0;15.757587;941.34247;985.0469;916.0156;13.933499;920.4477;966.6719;900.0625;13.418449;990.7463;1032.6719;969.5625;14.256624;999.9241;1050.8438;980.5469;14.508005;1039.9255;1100.1562;1022.9844;13.646734;876.38257;923.46875;857.5;11.744803;957.6653;1003.8125;941.3281;14.307817;965.74854;1018.2656;946.4375;15.242792;971.79675;1017.3906;945.7031;15.686541;927.42365;978.125;905.6094;15.179375;932.887;967.0;904.4844;18.759552;929.8638;976.96875;898.6406;15.498129;905.6001;949.0625;881.3281;14.194459;909.52704;953.53125;887.2344;14.13811;970.5065;1021.34375;951.3594;18.684662;997.09106;1035.7812;962.2969;20.701843;1020.5331;1058.8438;982.0469;14.421215;937.6359;980.03125;913.21875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;24.085028;871.42194;933.4531;823.90625;25.747524;856.08405;917.9844;806.90625;24.349558;957.1504;1019.15625;909.5469;24.220387;958.1186;1019.7969;910.1406;23.765163;968.00745;1032.4062;920.5469;26.98975;860.9886;921.1406;810.5625;24.281866;865.957;926.21875;819.25;25.650898;915.3498;974.90625;868.8125;24.227245;932.4991;995.4375;885.375;26.054089;855.61346;917.4219;807.0156;25.736164;872.48846;938.0;823.1719;25.421751;907.1398;966.6875;861.7031;27.57104;834.34106;892.875;786.7656;30.28523;916.17065;978.1875;865.6406;25.39363;948.3018;1009.6406;901.375;23.810005;934.2387;994.65625;887.65625;25.524279;936.2129;998.4844;886.75;25.964596;904.2674;965.4219;855.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;14.995629;888.08075;924.75;875.0;15.134684;867.3417;904.4844;854.0156;17.470177;972.72375;1015.34375;957.5625;14.836212;950.0533;986.78125;937.3281;15.159144;957.39856;993.4375;943.5781;14.51886;858.15515;893.3281;844.34375;13.276112;859.28955;891.0;847.25;14.488232;918.1276;952.03125;904.4219;13.867284;918.048;950.0781;904.5156;15.478308;879.1403;916.0156;864.7656;16.881207;878.2178;918.4844;861.3281;15.024583;911.3856;947.1875;897.4375;14.649482;837.4773;871.8906;822.9844;15.823001;923.93164;963.4531;911.4219;17.145744;956.74023;998.75;941.625;17.286793;935.24084;977.5625;919.8594;15.554484;935.6437;971.75;920.5625;15.624305;908.4197;946.8594;893.8906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;11.117622;938.84814;949.875;907.6875;11.36848;918.80676;930.4531;887.25;12.52146;1032.3983;1044.2812;997.3281;10.921459;999.71716;1010.7344;969.0;11.394755;1005.52625;1017.03125;973.6094;10.938249;907.2714;918.71875;877.28125;10.367804;899.251;910.1875;870.9844;11.68929;966.2547;977.96875;934.2969;10.921543;961.78986;973.21875;931.5;11.376413;930.2075;941.71875;898.3906;11.687988;932.9592;945.0;900.90625;11.497122;959.6367;971.21875;927.8594;10.649046;883.8129;895.0625;854.125;11.569759;978.3632;990.21875;946.3125;12.32671;1014.619;1026.5;980.34375;10.836766;990.4973;1001.9844;960.28125;11.154575;984.8514;996.6094;953.2969;10.852984;959.88403;971.53125;929.8281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;20.504702;913.3351;955.5156;859.3125;24.003809;921.6427;968.875;852.3594;21.236422;1009.01215;1059.8906;957.8281;21.750736;958.0697;1004.71875;904.6406;20.024118;970.2544;1015.34375;921.3281;24.175077;923.93115;972.53125;855.65625;21.190844;902.0252;949.875;849.2969;21.60286;936.48816;989.0;885.7969;20.799786;918.1336;966.5469;868.21875;19.596642;923.0266;963.375;873.5;26.054098;918.5133;976.15625;851.4531;22.146635;924.8178;974.3125;872.5156;24.00086;880.4492;926.9375;816.3906;24.202381;964.40424;1020.21875;906.84375;22.0125;974.7724;1028.7188;930.5781;23.807144;956.7011;1005.15625;894.8281;20.760155;958.63837;1003.5;909.0781;22.19525;955.9309;1005.5;906.8594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;23.531654;910.5457;963.46875;857.65625;24.186699;901.48615;954.3594;846.4375;22.476639;995.8616;1050.75;952.6406;24.656189;959.18536;1012.4844;903.125;20.683939;956.8164;1008.2344;918.4219;22.405148;904.4666;954.59375;850.125;21.342615;891.1018;941.53125;847.2031;22.002312;922.8241;976.8906;881.96875;20.897144;904.766;955.375;864.28125;19.988195;910.53516;958.125;870.875;27.09999;909.46375;975.3281;849.875;24.236044;917.72253;976.8281;870.7344;23.567045;873.64;924.2031;815.0469;24.869162;956.2675;1015.59375;904.03125;22.6379;975.6487;1028.1562;930.7031;23.7671;947.28046;1002.5781;894.8281;21.393684;951.09796;1000.7969;908.0;23.947357;946.6238;1002.0625;900.3281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;10.136194;933.56866;944.3125;919.40625;10.553629;913.3633;924.3281;898.4844;11.449974;1025.5798;1037.6719;1009.2344;9.965212;994.80615;1005.3125;980.9531;9.964003;1000.6688;1011.28125;987.0469;10.507183;901.6905;912.6094;886.7656;8.908256;895.61017;905.2344;884.0;10.164476;960.97394;971.9219;947.2969;9.467785;957.35333;967.5781;944.7969;10.147124;924.8458;935.5625;910.6719;11.076279;927.0856;938.375;911.2031;10.393013;954.1998;965.25;939.75;9.412832;879.5762;889.2656;866.6719;10.797438;972.65796;983.8281;957.2344;11.330321;1008.1435;1019.9375;992.0;10.851062;985.77527;995.84375;969.6406;9.829525;980.4386;990.46875;966.8594;10.584567;954.9692;965.5469;939.84375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;12.701996;898.23834;920.5625;876.34375;13.082801;876.70593;901.21875;855.96875;14.678189;980.14264;1006.1719;956.5625;12.820119;962.2217;984.90625;941.25;12.517681;960.8741;983.90625;941.0;13.7749;882.009;908.0625;859.9531;12.597662;873.65497;897.6719;853.8125;12.916804;926.7263;950.9219;906.1094;12.791255;926.5318;949.4844;906.21875;12.148079;882.96545;905.8906;865.28125;14.472408;892.98444;919.84375;869.96875;13.042437;918.8396;942.0781;898.2969;12.607701;846.12933;870.46875;826.3281;14.548912;937.52606;964.6875;914.3594;13.075302;966.0874;989.0781;944.8906;17.043657;942.9512;974.21875;916.8594;13.773122;936.6424;962.4219;914.84375;13.289112;924.70013;949.6719;903.0469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;15.976479;936.8653;949.2344;907.6875;16.304852;917.444;929.7344;887.25;17.268936;1028.7268;1042.6094;997.3281;15.842943;998.09894;1010.1094;969.0;16.341448;1003.54205;1016.25;973.6094;16.407085;906.70703;919.8594;877.28125;15.532499;898.73486;911.0625;870.9844;16.663815;964.1031;977.5;934.2969;16.043755;960.7588;973.1875;931.5;15.987123;928.0186;940.53125;898.4531;16.543764;931.3662;944.1094;900.90625;16.48912;957.7698;970.7031;927.8594;15.637232;882.9598;894.9531;854.125;16.46853;976.6886;989.1094;946.3125;17.124615;1011.461;1024.9688;980.34375;15.604096;990.5385;1001.46875;960.28125;16.141657;983.7437;996.0;953.2969;16.050375;959.8779;971.75;929.8281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;15.440457;888.9005;930.6094;856.2031;15.25337;866.47754;909.0;834.90625;15.205299;964.343;1017.2969;937.4531;14.363864;951.53406;993.34375;922.78125;14.214035;952.4902;997.15625;926.5781;14.805726;871.34;906.8906;839.0781;16.641306;866.4328;905.0781;830.625;14.534251;918.2223;960.46875;889.78125;16.689747;919.1889;964.4375;884.7969;16.76219;873.05914;920.7969;837.4375;16.147451;879.7618;925.59375;847.03125;15.44046;908.9853;955.6094;877.9219;17.104256;835.7712;879.4219;801.7031;15.672897;921.9977;968.1875;890.6719;15.068313;952.9011;1002.0;924.4219;16.630037;925.01447;978.7344;896.71875;16.526161;925.67365;975.6875;894.90625;15.851399;913.6779;955.5625;880.2969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
3170206.0;17.705328;897.88403;942.8594;865.21875;18.452295;893.9633;936.625;863.4531;16.678816;1008.74384;1049.0625;979.0781;18.94066;949.06537;997.5156;908.6094;17.741508;954.80316;1002.71875;922.0156;17.970657;900.7002;946.7656;864.6406;19.417652;881.33374;925.9844;841.7656;17.658545;941.50616;985.0;907.2969;19.511406;931.84875;979.4375;888.8125;19.133553;877.9965;925.0781;840.7344;18.75106;920.9376;964.96875;882.90625;17.327543;935.1458;977.3125;899.4219;18.580635;852.0818;896.3125;814.7031;19.619802;952.7142;999.2031;914.4375;18.066288;979.4113;1023.375;944.0;21.679346;940.2845;992.7031;894.4219;18.40526;938.56195;984.3906;899.6406;18.85936;943.3426;990.8594;902.3125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;14.844707;926.16986;958.5156;900.6406;17.83193;973.31647;1011.25;942.7031;14.129203;1031.5854;1063.1406;1006.4375;15.643535;906.55334;937.9375;876.5781;12.041595;956.2232;983.6406;933.84375;13.779662;994.57434;1027.3125;970.4531;12.635344;943.615;972.125;919.8125;13.443862;953.2499;982.0625;928.6094;12.649712;1021.00104;1048.7188;998.1719;16.595915;908.15826;943.2031;878.1719;16.064512;959.7907;993.5156;930.625;15.576879;952.8351;986.1094;924.3594;12.86705;916.8799;944.3125;890.6875;16.150068;1020.69116;1055.125;989.2344;14.085265;1050.742;1080.1719;1022.0156;16.72838;1011.30457;1043.7344;975.59375;18.237438;963.6627;1000.5781;928.65625;12.324086;997.8395;1024.5781;974.6094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;27.725187;942.0867;985.28125;886.6406;27.128738;981.1834;1024.4688;926.3281;28.460176;1044.4734;1088.9062;989.1719;30.975382;969.3334;1021.375;913.90625;30.477064;1002.7621;1055.875;948.9531;28.207832;982.89014;1028.5469;926.1406;29.348925;966.75793;1014.8281;910.2969;28.403282;978.58276;1025.4219;923.2969;24.80392;1017.9127;1057.2656;967.5625;28.284584;937.5187;985.78125;882.3906;29.19634;969.7578;1018.84375;913.8125;28.730488;974.65656;1022.6875;918.53125;25.792854;946.6692;986.1719;892.3281;27.076965;1034.1868;1075.5469;977.15625;24.75015;1059.3405;1094.7031;1006.7031;25.657866;1032.5376;1069.4219;978.78125;26.499983;992.34827;1030.1562;935.7969;26.477234;1019.15466;1055.2812;960.7969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;23.926584;904.8373;966.4531;865.4531;21.233665;943.1663;998.6094;909.4844;23.687037;996.13196;1056.9375;956.46875;25.05331;910.26764;972.71875;870.4531;22.012442;940.8317;1000.5;906.25;20.7013;954.3763;1013.8594;923.1094;24.637363;926.425;988.625;886.34375;22.745523;933.5843;995.9844;897.2344;21.13602;983.67737;1042.2031;949.15625;22.531574;899.8656;957.28125;863.96875;19.740385;930.4645;984.25;899.03125;21.58557;922.77893;980.0469;889.9531;24.584429;888.0047;951.5625;852.9219;20.17422;985.5112;1035.6562;952.71875;21.942802;1009.24945;1067.5312;976.2656;24.946808;986.5701;1047.6562;949.0625;24.472488;941.4774;1000.2344;901.5781;22.406944;968.83014;1018.3594;930.1719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;17.987396;933.74915;978.21875;896.7969;21.315617;959.76544;1011.25;917.1719;21.561264;1013.9676;1064.4688;968.875;22.026083;954.19934;1002.7656;904.8125;22.04554;972.00604;1021.5781;925.3906;21.022583;953.8806;1006.90625;911.7031;21.225204;948.60803;999.2656;906.7031;21.539349;957.20294;1007.03125;912.9531;21.08689;975.34924;1022.28125;931.4531;18.012072;926.8096;973.1406;891.1875;19.185892;947.5651;999.5156;911.5469;17.560286;949.70905;996.59375;914.34375;20.420698;921.9848;966.4531;877.6875;21.5002;1017.1577;1068.6094;972.8125;22.732738;1026.2723;1075.9531;978.2031;18.58142;1001.24146;1047.0781;963.4375;21.290722;980.22034;1025.4375;935.3906;22.830408;1004.8447;1053.4844;955.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;25.202566;896.4976;950.9219;859.6719;28.202667;924.75635;989.03125;883.2344;29.404257;1004.35;1072.75;965.78125;24.39026;960.0485;1014.5625;925.7031;24.54825;971.61597;1024.6406;935.0469;29.334816;916.39545;981.6406;874.21875;28.013927;908.39246;972.9375;869.84375;28.155754;952.855;1017.34375;914.875;25.327566;925.982;979.3125;887.6406;23.727179;918.67944;968.5469;882.84375;26.859148;935.6069;994.6094;898.4531;25.575832;937.5453;993.6719;900.7969;24.584362;893.7515;947.78125;857.65625;31.81168;969.02;1043.0312;926.6719;31.522217;978.0133;1053.5469;936.8906;28.28889;954.0626;1018.4844;915.71875;23.675186;972.7544;1022.0156;936.34375;26.16076;978.1484;1036.9531;941.4844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;19.090815;931.4772;976.65625;896.5781;19.396769;962.6085;1007.4531;927.4375;19.360588;1022.9755;1066.1094;983.25;22.359604;954.1026;1001.3594;906.9375;20.237411;965.31586;1014.8281;930.4531;20.631567;959.41437;1012.0469;926.0469;18.979801;949.55927;997.46875;916.21875;19.277515;957.56165;1004.59375;919.1719;18.802946;995.2442;1038.9062;956.7969;19.094622;925.6623;972.2969;890.46875;19.018747;942.50195;992.0625;908.7031;19.402472;944.31854;994.90625;910.9844;21.29755;911.437;962.7031;872.2656;18.57466;1009.31494;1051.6875;971.75;18.471498;1022.74475;1071.5625;990.4219;21.47731;1008.6409;1056.6406;968.0156;23.18907;962.848;1015.2031;922.875;22.209938;983.8494;1028.9844;941.9531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;12.370565;939.5181;964.2344;919.2969;14.470873;1004.23804;1035.1406;983.3281;13.857125;1052.1464;1079.5;1030.0781;11.616226;913.47534;938.65625;892.875;12.959506;973.366;998.53125;951.3281;13.15184;1006.1526;1032.2656;984.625;12.105676;959.6936;984.03125;939.3281;13.522636;971.02484;998.53125;949.59375;9.735954;1022.1733;1043.9375;1005.625;10.471561;918.0192;940.8125;899.4844;11.483561;968.8771;993.5;950.0;10.202441;968.44977;989.84375;950.84375;10.735709;928.84686;950.2969;908.75;12.497887;1040.8751;1068.3281;1019.2969;13.658958;1065.2437;1092.8438;1041.1094;12.728106;1007.1846;1035.7812;983.2031;11.722589;971.9253;997.4375;952.4375;10.534359;1011.3471;1033.7188;992.2969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;36.097042;888.4757;956.625;838.4219;25.958782;950.0537;995.8281;908.8594;33.771107;1010.52344;1076.1406;959.9219;32.701786;959.7412;1019.15625;912.03125;36.639107;982.86096;1056.125;930.6875;30.957916;939.95184;998.5469;895.1094;25.998518;948.2278;994.59375;909.0156;32.05936;949.2001;1008.15625;903.1719;28.943577;949.4145;1004.125;906.7656;29.776058;937.69653;991.75;894.0;31.21167;952.10077;1010.0;906.7969;30.856047;958.968;1016.5469;913.75;27.34169;913.7093;959.6875;872.65625;29.962372;993.561;1041.0469;951.96875;28.070675;999.63275;1043.8438;959.28125;27.375324;968.9216;1015.25;929.4844;31.438812;965.0678;1020.1719;920.2344;28.574255;987.12103;1036.875;943.46875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;16.771646;931.35767;979.03125;900.5;17.494034;915.2367;964.7656;885.3594;15.118395;962.9813;1000.78125;933.2344;16.320179;982.906;1028.125;951.3281;15.778689;993.19135;1045.4844;967.125;13.378613;929.44116;970.53125;904.9219;17.728098;919.20996;974.3281;886.9531;14.706736;899.8962;945.75;874.625;13.685781;931.46313;972.59375;906.03125;12.136995;951.6304;983.65625;925.0469;12.562697;928.2318;964.2344;903.125;14.207105;938.6264;982.1406;912.4375;14.372684;911.8133;953.59375;882.0156;12.684461;931.52856;971.3125;907.78125;13.705393;939.772;980.9844;915.34375;14.662753;937.54425;982.9844;913.5469;18.010826;954.9464;1009.25;922.9219;17.971035;977.73804;1042.3906;949.46875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102678.0;19.215008;909.4079;964.53125;876.6094;17.833834;899.30426;951.75;867.75;19.012947;948.2502;1009.5625;920.6094;26.969782;958.725;1038.0;918.9531;23.433863;974.77484;1049.9219;941.2969;19.507723;896.68365;957.65625;864.7031;17.933908;878.93225;928.6719;850.1406;17.329771;910.631;961.25;879.4375;17.114614;923.7448;974.6406;894.0469;19.283978;913.74976;965.8906;881.7031;20.853477;893.0687;954.2656;862.0781;19.012215;912.2984;968.8906;880.8594;16.95332;885.43744;935.4531;856.8281;18.376707;947.6938;1003.0625;915.2031;18.81883;958.68207;1017.0156;925.7969;18.611017;917.17566;965.8594;888.6094;18.367813;940.6521;990.0469;911.5;17.727892;948.2346;997.7344;919.7656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
